title,reference,term_id,date,id,created_at,updated_at
2019 discharge: European Union Agency for Law Enforcement Training (CEPOL),A9-0071/2021,1,2021-04-26,171,2021-08-13 09:52:00,2021-08-13 09:52:00
2019 discharge: European Border and Coast Guard Agency,A9-0081/2021,1,2021-04-26,172,2021-08-13 09:52:02,2021-08-13 09:52:02
2019 discharge: European GNSS Agency,A9-0074/2021,1,2021-04-26,173,2021-08-13 09:52:02,2021-08-13 09:52:02
2019 discharge: European Fisheries Control Agency,A9-0092/2021,1,2021-04-26,174,2021-08-13 09:52:03,2021-08-13 09:52:03
2019 discharge: European Chemicals Agency,A9-0075/2021,1,2021-04-26,175,2021-08-13 09:52:04,2021-08-13 09:52:04
2019 discharge: Euratom Supply Agency,A9-0088/2021,1,2021-04-26,176,2021-08-13 09:52:05,2021-08-13 09:52:05
2019 discharge: European Union Agency for Law Enforcement Cooperation (Europol),A9-0096/2021,1,2021-04-26,177,2021-08-13 09:52:06,2021-08-13 09:52:06
2019 discharge: European Institute for Gender Equality,A9-0072/2021,1,2021-04-26,178,2021-08-13 09:52:07,2021-08-13 09:52:07
2019 discharge: European Banking Authority,A9-0091/2021,1,2021-04-26,179,2021-08-13 09:52:09,2021-08-13 09:52:09
2019 discharge: European Insurance and Occupational Pensions Authority,A9-0079/2021,1,2021-04-26,180,2021-08-13 09:52:10,2021-08-13 09:52:10
2019 discharge: European Securities and Markets Authority,A9-0093/2021,1,2021-04-26,181,2021-08-13 09:52:11,2021-08-13 09:52:11
2019 discharge: European Union Agency for the Cooperation of Energy Regulators,A9-0078/2021,1,2021-04-26,182,2021-08-13 09:52:12,2021-08-13 09:52:12
2019 discharge: Agency for Support for BEREC (BEREC Office),A9-0082/2021,1,2021-04-26,183,2021-08-13 09:52:13,2021-08-13 09:52:13
2019 discharge: European Institute of Innovation and Technology,A9-0076/2021,1,2021-04-26,184,2021-08-13 09:52:14,2021-08-13 09:52:14
2019 discharge: European Asylum Support Office,A9-0068/2021,1,2021-04-26,185,2021-08-13 09:52:15,2021-08-13 09:52:15
